Crop Type,Soil Type,Rainfall,Temperature,Humidity,Fertilizer Used,Pesticide Usage,Water Availability,Market Distance,Farm Size,Irrigation Type,Labor Cost,Seed Quality,Crop Variety,Crop Price
Maize,Loam,576.1460741573321,32.96073074546838,61.26439143050327,246.48131905222837,42.82367157296592,2769.341832200862,41.60331021041058,2.8983460249586077,Flood,952.0371235304992,High,Hybrid,452.5252979597555
Wheat,Loam,795.4232524759644,38.850828189626014,51.012179465443815,204.4828899615745,25.690681660941884,3674.683539591572,38.42740744095606,7.052701638143255,Drip,457.739193180365,Low,Hybrid,238.57691604911557
Maize,Loam,897.466223178497,33.034836277657206,70.64840488940837,135.46182137452303,27.902074204242474,2261.665565034734,34.771597968166944,7.338331670521777,Flood,295.42636363390466,High,Hybrid,439.1376455331737
Maize,Loam,546.9242671651111,36.57201257281031,75.51011285498345,268.4687388802546,39.20006884323446,3730.3971191252217,15.635146562093803,6.027601031795705,Sprinkler,436.2767366200287,High,Indigenous,665.3643440593196
Wheat,Sandy,234.9293261658889,15.052596079397086,30.877695532660542,53.226806995248,24.31019053174857,4485.954167029553,9.403565122240252,9.132560828188396,Sprinkler,399.6208866082629,Medium,Indigenous,592.5136850913552
Wheat,Loam,329.3380353174421,32.93930311828986,42.434537986132696,106.67266301873092,12.556037681934953,1949.9441694487996,30.92716984216848,1.998953325296296,Flood,258.538521252574,High,Hybrid,308.0582948236548
Maize,Clay,216.6889114332305,35.739688921631256,72.7941520850002,191.723199062384,12.97338435544286,4915.6782244796,29.9155025092745,2.5940931184217755,Flood,646.5400030913391,High,Hybrid,409.4402421328772
Rice,Clay,722.6104153898641,16.013968438617034,53.19721035803005,137.8855650124245,14.614512052228154,2545.472548547228,13.477325420069285,4.857983419505364,Flood,528.9617444577659,Low,Indigenous,652.6280786037855
Maize,Loam,465.8517002840872,36.78994318220576,69.7490368164965,202.5943738295819,44.78725293374651,2069.0347405882467,7.531101244182762,2.1404146171081497,Sprinkler,879.1308930916033,Low,Hybrid,874.7695252391038
Maize,Loam,633.982908575494,21.417355707751145,50.81775958407351,56.027548352166704,28.88905703024817,2686.044730041162,8.631880438729368,6.096665293516787,Sprinkler,128.89862243385244,Medium,Indigenous,777.8920948649895
Maize,Clay,594.6214774270397,31.63230254945138,53.44530913977823,79.11473262042813,38.51529477378946,1377.5899036154367,49.67469439307302,4.58560419948482,Sprinkler,679.4811347996138,High,Hybrid,598.0600241500734
Maize,Clay,265.22119164194135,35.008871975585166,39.5207324213811,81.7740600546098,25.71637342419573,1502.8236260484628,40.261275263429766,3.561362150823266,Drip,786.653990660405,High,Indigenous,426.0636984848376
Wheat,Sandy,522.6090888990655,31.566612826483887,45.4938611799696,97.32091147900236,20.34843789662538,2657.736187873325,46.48943641843277,2.5299083171587355,Sprinkler,783.5379122694764,High,Hybrid,428.54614978762487
Maize,Clay,376.4488999378586,17.30711980183143,66.32470545045524,164.8328602001357,23.88768670248848,4049.7780877564,13.77746250063635,4.018044145133892,Sprinkler,897.4665703859725,High,Indigenous,891.4755792379565
Rice,Clay,534.7198309341222,29.90803797150921,55.98978667890998,238.0321748858928,41.76729381268734,4601.248958297963,48.22558413455458,6.471634157491078,Drip,756.1303685465447,High,Indigenous,135.31921843649175
Wheat,Loam,362.86262427379415,28.739591418053596,76.45816097667571,276.3847094822253,35.00864500125753,3659.2719628650834,11.419445816292294,6.182066898004704,Drip,935.0290554829268,High,Indigenous,989.1843799782348
